jid,source_token,start_year,start_month,exitcode,anomaly_score,is_anomaly,failed
JOB4294517_S,S,2014,10,TIMEOUT,0.22743147355666538,True,True
JOB3525020_S,S,2014,6,COMPLETED,0.22369105181587556,True,False
JOB3525007_S,S,2014,6,COMPLETED,0.22337233887399033,True,False
JOB1370769_S,S,2013,8,NODE_FAIL,0.22327886524445784,True,True
JOB3525025_S,S,2014,6,CANCELLED,0.22232359078779118,True,True
JOB1348580,NONE,2023,5,TIMEOUT,0.22216468949967305,True,True
JOB4294319_S,S,2014,10,COMPLETED,0.22209874333937152,True,False
JOB746184,NONE,2023,2,COMPLETED,0.22153776500106637,True,False
JOB3525038_S,S,2014,6,CANCELLED,0.22141659997711471,True,True
JOB1372318_S,S,2013,8,NODE_FAIL,0.2207339762281323,True,True
JOB4286693_S,S,2014,10,CANCELLED,0.22041642930127003,True,True
JOB3525030_S,S,2014,6,CANCELLED,0.22041642930127003,True,True
JOB577891_S,S,2013,4,FAILED,0.22009900758746925,True,True
JOB4286672_S,S,2014,10,CANCELLED,0.22009900758746925,True,True
JOB567922_S,S,2013,4,TIMEOUT,0.21946453960157852,True,True
JOB1375263_S,S,2013,8,CANCELLED,0.21936084532128386,True,True
JOB341553_S,S,2013,3,COMPLETED,0.21914749323080063,True,False
JOB4294294_S,S,2014,10,COMPLETED,0.21828998965904922,True,False
JOB4294573_S,S,2014,10,FAILED,0.2181896116389147,True,True
JOB3150205_S,S,2014,4,COMPLETED,0.2177696905252967,True,False
JOB647101_S,S,2013,4,TIMEOUT,0.21724108948917287,True,True
JOB3525012_S,S,2014,6,FAILED,0.2169144163555119,True,True
JOB4294577_S,S,2014,10,CANCELLED,0.21683802369821048,True,True
JOB567866_S,S,2013,4,CANCELLED,0.2162996956882759,True,True
JOB1370427_S,S,2013,8,COMPLETED,0.2161964095638368,True,False
JOB4291716_S,S,2014,10,CANCELLED,0.2159455054687065,True,True
JOB4291789_S,S,2014,10,CANCELLED,0.2159455054687065,True,True
JOB6953169_S,S,2016,5,COMPLETED,0.2159306144313533,True,False
JOB5156211_S,S,2015,4,CANCELLED,0.2158815227396096,True,True
JOB3150198_S,S,2014,4,CANCELLED,0.21566822335211067,True,True
JOB488805,NONE,2022,12,COMPLETED,0.21539731248156724,True,False
JOB744618,NONE,2023,2,COMPLETED,0.2152933532978547,True,False
JOB4294166_S,S,2014,10,CANCELLED,0.2149989025216018,True,True
JOB478828_S,S,2013,4,COMPLETED,0.21497184775205858,True,False
JOB567910_S,S,2013,4,COMPLETED,0.21485881153313935,True,False
JOB718555,NONE,2023,1,COMPLETED,0.21477572386789023,True,False
JOB4294566_S,S,2014,10,FAILED,0.21439931498016895,True,True
JOB4294046_S,S,2014,10,FAILED,0.21439931498016895,True,True
JOB4292946_S,S,2014,10,CANCELLED,0.21436845582397224,True,True
JOB4293906_S,S,2014,10,COMPLETED,0.2143414223863478,True,False
JOB4286651_S,S,2014,10,TIMEOUT,0.2143037299788274,True,True
JOB567943_S,S,2013,4,FAILED,0.21427217059057757,True,True
JOB6953240_S,S,2016,5,CANCELLED,0.21424829576450521,True,True
JOB743702,NONE,2023,2,COMPLETED,0.21405311611953326,True,False
JOB567888_S,S,2013,4,FAILED,0.21386916635264797,True,True
JOB3525033_S,S,2014,6,COMPLETED,0.21378810654254832,True,False
JOB643989_S,S,2013,4,COMPLETED,0.21377679216182288,True,False
JOB567839_S,S,2013,4,TIMEOUT,0.21377679216182288,True,True
JOB691259_S,S,2013,5,COMPLETED,0.21377679216182288,True,False
JOB1373449_S,S,2013,8,NODE_FAIL,0.2135708839266489,True,True
JOB3150219_S,S,2014,4,COMPLETED,0.21351950780047713,True,False
JOB567789_S,S,2013,4,CANCELLED,0.21342371769756252,True,True
JOB337600_S,S,2013,3,FAILED,0.21314730906356616,True,True
JOB3150197_S,S,2014,4,CANCELLED,0.21314730906356616,True,True
JOB1351618,NONE,2023,5,COMPLETED,0.2130582133961575,True,False
JOB4294157_S,S,2014,10,CANCELLED,0.2130541085813763,True,True
JOB6953381_S,S,2016,5,CANCELLED,0.2129890826562495,True,True
JOB3524999_S,S,2014,6,COMPLETED,0.21292851266527668,True,False
JOB567932_S,S,2013,4,FAILED,0.21283275366249554,True,True
JOB567779_S,S,2013,4,COMPLETED,0.21276753280712735,True,False
JOB1775867_S,S,2013,9,COMPLETED,0.21273958993052022,True,False
JOB746606,NONE,2023,2,COMPLETED,0.21254866617555357,True,False
JOB677081_S,S,2013,5,FAILED,0.21252470817803149,True,True
JOB3150196_S,S,2014,4,CANCELLED,0.2125183222948872,True,True
JOB4294006_S,S,2014,10,FAILED,0.2124177567916533,True,True
JOB567816_S,S,2013,4,TIMEOUT,0.21220401491183294,True,True
JOB689821_S,S,2013,5,TIMEOUT,0.21220401491183294,True,True
JOB6786092_S,S,2016,3,FAILED,0.21220401491183294,True,True
JOB1375090_S,S,2013,8,COMPLETED,0.21219657846913886,True,False
JOB721001,NONE,2023,1,TIMEOUT,0.21198463457933314,True,True
JOB4294549_S,S,2014,10,COMPLETED,0.21179677789618867,True,False
JOB4294148_S,S,2014,10,CANCELLED,0.21178934525425863,True,True
JOB652691_S,S,2013,5,COMPLETED,0.21146639448806936,True,False
JOB567804_S,S,2013,4,NODE_FAIL,0.21139574285327278,True,True
JOB3150204_S,S,2014,4,COMPLETED,0.21137067897737472,True,False
JOB6832540_S,S,2016,4,CANCELLED,0.21126183618120364,True,True
JOB5118783_S,S,2015,4,CANCELLED,0.2112236708418681,True,True
JOB6953324_S,S,2016,5,FAILED,0.21110398374997208,True,True
JOB567927_S,S,2013,4,COMPLETED,0.2109480242476709,True,False
JOB4293884_S,S,2014,10,CANCELLED,0.2109480242476709,True,True
JOB7595676_S,S,2016,9,TIMEOUT,0.2109480242476709,True,True
JOB4294559_S,S,2014,10,CANCELLED,0.2109338641709383,True,True
JOB684116_S,S,2013,5,TIMEOUT,0.2106527085924721,True,True
JOB567852_S,S,2013,4,COMPLETED,0.21063433605444093,True,False
JOB3150260_S,S,2014,4,COMPLETED,0.21058950767354434,True,False
JOB6953357_S,S,2016,5,CANCELLED,0.21030662264080802,True,True
JOB3150199_S,S,2014,4,CANCELLED,0.2100646009516467,True,True
JOB6953168_S,S,2016,5,CANCELLED,0.2100646009516467,True,True
JOB3150257_S,S,2014,4,CANCELLED,0.20993183909997748,True,True
JOB4293844_S,S,2014,10,CANCELLED,0.20969401342873994,True,True
JOB567874_S,S,2013,4,TIMEOUT,0.2096866004120186,True,True
JOB718568,NONE,2023,1,COMPLETED,0.20945456026320108,True,False
JOB567864_S,S,2013,4,COMPLETED,0.20938081970898914,True,False
JOB4294318_S,S,2014,10,CANCELLED,0.20936668752780063,True,True
JOB4294121_S,S,2014,10,COMPLETED,0.20928805927421712,True,False
JOB718730,NONE,2023,1,FAILED,0.20924919640875528,True,True
JOB745185,NONE,2023,2,COMPLETED,0.20910256405504146,True,False
JOB1913825_S,S,2013,10,FAILED,0.2088906442166102,True,True
JOB4294134_S,S,2014,10,CANCELLED,0.20876546062429302,True,True
JOB310537_S,S,2013,2,COMPLETED,0.20871675759791997,True,False
