strategy,n_target_labels,count,seeds,analysis_origins,requested_n_target_labels_unique,effective_n_target_labels_unique,actual_cal_n_unique,actual_eval_n_unique,source_overlap_n_unique,target_overlap_n_unique,min_target_eval_rows,calibration_n_capped_count,below_min_target_eval_rows_count,all_min_target_eval_rows_satisfied,mixed_target_overlap_n,mixed_actual_eval_n,mixed_effective_n_target_labels,target_r2_mean,target_r2_median,target_r2_std,target_r2_iqr,target_r2_min,target_r2_max,target_r2_range,delta_vs_exp002_mean,delta_vs_exp002_median,rows_above_exp002,rows_below_or_equal_exp002,mean_target_mae_log,median_target_mae_log,mean_target_smape,median_target_smape,mean_target_slope,median_target_slope,best_run_id,best_run_origin,best_run_seed,best_run_target_r2,group_caveats,vs_target_only_common_seed_count,vs_target_only_wins,vs_target_only_losses_or_ties,vs_target_only_mean_delta_r2,vs_target_only_median_delta_r2,vs_target_only_per_seed
full_target,-1,3,"[1337, 2024, 2025]","[""original_valid_seed1337"", ""repair_non1337""]",[-1],"[178, 1964]","[178, 1964]","[45, 491]",[6995],"[223, 2459]",[50],0,2,False,True,True,True,0.03189205994515539,-0.0071022914594462,0.07514419204432608,0.0856128192264025,-0.0342235835789463,0.1370020548738587,0.171225638452805,-0.07510794005484461,-0.1141022914594462,1,2,0.08597885875255251,0.0835877110741026,65.1402338647569,61.76914980441015,0.8037102547623819,0.931345018446282,EXP-003_few_shot_main_full_target_seed1337,original_valid_seed1337,1337,0.1370020548738587,"Mixed cohort sizes: original seed-1337 uses target_overlap_n=2459 while repaired seeds use target_overlap_n=223. | Evaluation-set sizes differ sharply across rows; across-seed dispersion is not a pure fixed-cohort estimate. | Effective calibration sizes differ across rows, so requested N does not map to one shared calibration count. | 2 row(s) fall below min_target_eval_rows=50; repaired full_target rows have actual_eval_n=45.",,,,,,
output_recal,10,3,"[1337, 2024, 2025]","[""original_valid_seed1337"", ""repair_non1337""]",[10],[10],[10],"[213, 2445]",[6995],"[223, 2459]",[50],0,0,True,True,True,False,-0.10970792566018879,-0.0603780082619662,0.1264399198897404,0.1488472352773116,-0.2832201196366117,0.0144743509180115,0.2976944705546232,-0.2167079256601888,-0.1673780082619662,0,3,0.0809626016595343,0.0817052682835106,47.442472715877955,43.98366019628639,0.0366885472025699,-0.5456428227414275,EXP-006_few_shot_main_output_recal_n10_seed1337,original_valid_seed1337,1337,0.0144743509180115,Mixed cohort sizes: original seed-1337 uses target_overlap_n=2459 while repaired seeds use target_overlap_n=223. | Evaluation-set sizes differ sharply across rows; across-seed dispersion is not a pure fixed-cohort estimate.,3.0,2.0,1.0,0.04588851335546009,0.04614307291047548,"[{""analysis_origin"": ""original_valid_seed1337"", ""seed"": 1337, ""strategy_run_id"": ""EXP-006_few_shot_main_output_recal_n10_seed1337"", ""target_only_run_id"": ""EXP-060_few_shot_main_target_only_n10_seed1337"", ""strategy_r2"": 0.0144743509180115, ""target_only_r2"": 0.0409888006455009, ""delta_r2"": -0.0265144497274894}, {""analysis_origin"": ""repair_non1337"", ""seed"": 2024, ""strategy_run_id"": ""EXP-080_few_shot_repair_non1337_output_recal_n10_seed2024"", ""target_only_run_id"": ""EXP-116_few_shot_repair_non1337_target_only_n10_seed2024"", ""strategy_r2"": -0.2832201196366117, ""target_only_r2"": -0.3293631925470872, ""delta_r2"": 0.04614307291047548}, {""analysis_origin"": ""repair_non1337"", ""seed"": 2025, ""strategy_run_id"": ""EXP-081_few_shot_repair_non1337_output_recal_n10_seed2025"", ""target_only_run_id"": ""EXP-117_few_shot_repair_non1337_target_only_n10_seed2025"", ""strategy_r2"": -0.0603780082619662, ""target_only_r2"": -0.1784149251453604, ""delta_r2"": 0.11803691688339418}]"
output_recal,25,3,"[1337, 2024, 2025]","[""original_valid_seed1337"", ""repair_non1337""]",[25],[25],[25],"[198, 2430]",[6995],"[223, 2459]",[50],0,0,True,True,True,False,0.004981655650084201,-0.0428652147164561,0.08312672014930099,0.09299508132834725,-0.0640899904949929,0.1219001721617016,0.1859901626566945,-0.1020183443499158,-0.14986521471645609,1,2,0.08773590458444207,0.0881207155054304,58.83358836643746,50.32945306655354,-0.449452579249376,-0.8280411191565221,EXP-009_few_shot_main_output_recal_n25_seed1337,original_valid_seed1337,1337,0.1219001721617016,Mixed cohort sizes: original seed-1337 uses target_overlap_n=2459 while repaired seeds use target_overlap_n=223. | Evaluation-set sizes differ sharply across rows; across-seed dispersion is not a pure fixed-cohort estimate.,3.0,1.0,2.0,-0.04827633789129723,-0.0632195977188361,"[{""analysis_origin"": ""original_valid_seed1337"", ""seed"": 1337, ""strategy_run_id"": ""EXP-009_few_shot_main_output_recal_n25_seed1337"", ""target_only_run_id"": ""EXP-063_few_shot_main_target_only_n25_seed1337"", ""strategy_r2"": 0.1219001721617016, ""target_only_r2"": 0.1217496675066805, ""delta_r2"": 0.00015050465502110255}, {""analysis_origin"": ""repair_non1337"", ""seed"": 2024, ""strategy_run_id"": ""EXP-082_few_shot_repair_non1337_output_recal_n25_seed2024"", ""target_only_run_id"": ""EXP-118_few_shot_repair_non1337_target_only_n25_seed2024"", ""strategy_r2"": -0.0640899904949929, ""target_only_r2"": 0.0176699301150838, ""delta_r2"": -0.0817599206100767}, {""analysis_origin"": ""repair_non1337"", ""seed"": 2025, ""strategy_run_id"": ""EXP-083_few_shot_repair_non1337_output_recal_n25_seed2025"", ""target_only_run_id"": ""EXP-119_few_shot_repair_non1337_target_only_n25_seed2025"", ""strategy_r2"": -0.0428652147164561, ""target_only_r2"": 0.02035438300238, ""delta_r2"": -0.0632195977188361}]"
output_recal,50,3,"[1337, 2024, 2025]","[""original_valid_seed1337"", ""repair_non1337""]",[50],[50],[50],"[173, 2405]",[6995],"[223, 2459]",[50],0,0,True,True,True,False,0.0344398958031313,0.0090876252100954,0.04334607379301289,0.048334976484292344,-0.0012189453846431,0.0954510075839416,0.09666995296858469,-0.0725601041968687,-0.0979123747899046,0,3,0.0902190692469812,0.0922242229933395,71.18051233037502,68.1020815298269,1.0873904384327107,1.1633571727486618,EXP-012_few_shot_main_output_recal_n50_seed1337,original_valid_seed1337,1337,0.0954510075839416,Mixed cohort sizes: original seed-1337 uses target_overlap_n=2459 while repaired seeds use target_overlap_n=223. | Evaluation-set sizes differ sharply across rows; across-seed dispersion is not a pure fixed-cohort estimate.,3.0,1.0,2.0,0.020966811045153837,-0.013199765268940705,"[{""analysis_origin"": ""original_valid_seed1337"", ""seed"": 1337, ""strategy_run_id"": ""EXP-012_few_shot_main_output_recal_n50_seed1337"", ""target_only_run_id"": ""EXP-066_few_shot_main_target_only_n50_seed1337"", ""strategy_r2"": 0.0954510075839416, ""target_only_r2"": 0.1086507728528823, ""delta_r2"": -0.013199765268940705}, {""analysis_origin"": ""repair_non1337"", ""seed"": 2024, ""strategy_run_id"": ""EXP-084_few_shot_repair_non1337_output_recal_n50_seed2024"", ""target_only_run_id"": ""EXP-120_few_shot_repair_non1337_target_only_n50_seed2024"", ""strategy_r2"": -0.0012189453846431, ""target_only_r2"": -0.1215917392721253, ""delta_r2"": 0.1203727938874822}, {""analysis_origin"": ""repair_non1337"", ""seed"": 2025, ""strategy_run_id"": ""EXP-085_few_shot_repair_non1337_output_recal_n50_seed2025"", ""target_only_run_id"": ""EXP-121_few_shot_repair_non1337_target_only_n50_seed2025"", ""strategy_r2"": 0.0090876252100954, ""target_only_r2"": 0.0533602206931754, ""delta_r2"": -0.04427259548308}]"
output_recal,100,3,"[1337, 2024, 2025]","[""original_valid_seed1337"", ""repair_non1337""]",[100],[100],[100],"[123, 2355]",[6995],"[223, 2459]",[50],0,0,True,True,True,False,0.021182202445591335,0.0095306874677572,0.050282283228736756,0.0607506679723222,-0.0337427080378138,0.0877586279068306,0.1215013359446444,-0.08581779755440866,-0.0974693125322428,0,3,0.09013473659124664,0.0927571291785913,72.75627168233045,70.72831005039892,1.4529776318856096,0.6729710585578842,EXP-015_few_shot_main_output_recal_n100_seed1337,original_valid_seed1337,1337,0.0877586279068306,Mixed cohort sizes: original seed-1337 uses target_overlap_n=2459 while repaired seeds use target_overlap_n=223. | Evaluation-set sizes differ sharply across rows; across-seed dispersion is not a pure fixed-cohort estimate.,3.0,0.0,3.0,-0.049936936679978026,-0.0640665176400618,"[{""analysis_origin"": ""original_valid_seed1337"", ""seed"": 1337, ""strategy_run_id"": ""EXP-015_few_shot_main_output_recal_n100_seed1337"", ""target_only_run_id"": ""EXP-069_few_shot_main_target_only_n100_seed1337"", ""strategy_r2"": 0.0877586279068306, ""target_only_r2"": 0.1062402249355866, ""delta_r2"": -0.018481597028756}, {""analysis_origin"": ""repair_non1337"", ""seed"": 2024, ""strategy_run_id"": ""EXP-086_few_shot_repair_non1337_output_recal_n100_seed2024"", ""target_only_run_id"": ""EXP-122_few_shot_repair_non1337_target_only_n100_seed2024"", ""strategy_r2"": 0.0095306874677572, ""target_only_r2"": 0.073597205107819, ""delta_r2"": -0.0640665176400618}, {""analysis_origin"": ""repair_non1337"", ""seed"": 2025, ""strategy_run_id"": ""EXP-087_few_shot_repair_non1337_output_recal_n100_seed2025"", ""target_only_run_id"": ""EXP-123_few_shot_repair_non1337_target_only_n100_seed2025"", ""strategy_r2"": -0.0337427080378138, ""target_only_r2"": 0.0335199873333025, ""delta_r2"": -0.06726269537111629}]"
output_recal,200,3,"[1337, 2024, 2025]","[""original_valid_seed1337"", ""repair_non1337""]",[200],"[173, 200]","[173, 200]","[50, 2255]",[6995],"[223, 2459]",[50],2,0,True,True,True,True,-0.06587326298724003,-0.0100959872795893,0.17579839564871147,0.2098196499495838,-0.3035815507906492,0.1160577491085184,0.4196392998991676,-0.17287326298724004,-0.1170959872795893,1,2,0.09556308657878172,0.1003473395873694,74.53627920767258,79.02953851883389,0.3075801565264345,0.8249686962821337,EXP-018_few_shot_main_output_recal_n200_seed1337,original_valid_seed1337,1337,0.1160577491085184,"Mixed cohort sizes: original seed-1337 uses target_overlap_n=2459 while repaired seeds use target_overlap_n=223. | Evaluation-set sizes differ sharply across rows; across-seed dispersion is not a pure fixed-cohort estimate. | Effective calibration sizes differ across rows, so requested N does not map to one shared calibration count. | 2 row(s) cap calibration to preserve the evaluation holdout.",3.0,0.0,3.0,-0.08409688409040363,-0.0747633836630824,"[{""analysis_origin"": ""original_valid_seed1337"", ""seed"": 1337, ""strategy_run_id"": ""EXP-018_few_shot_main_output_recal_n200_seed1337"", ""target_only_run_id"": ""EXP-072_few_shot_main_target_only_n200_seed1337"", ""strategy_r2"": 0.1160577491085184, ""target_only_r2"": 0.1339564455271632, ""delta_r2"": -0.017898696418644805}, {""analysis_origin"": ""repair_non1337"", ""seed"": 2024, ""strategy_run_id"": ""EXP-088_few_shot_repair_non1337_output_recal_n200_seed2024"", ""target_only_run_id"": ""EXP-124_few_shot_repair_non1337_target_only_n200_seed2024"", ""strategy_r2"": -0.3035815507906492, ""target_only_r2"": -0.1439529786011655, ""delta_r2"": -0.1596285721894837}, {""analysis_origin"": ""repair_non1337"", ""seed"": 2025, ""strategy_run_id"": ""EXP-089_few_shot_repair_non1337_output_recal_n200_seed2025"", ""target_only_run_id"": ""EXP-125_few_shot_repair_non1337_target_only_n200_seed2025"", ""strategy_r2"": -0.0100959872795893, ""target_only_r2"": 0.0646673963834931, ""delta_r2"": -0.0747633836630824}]"
output_recal,500,3,"[1337, 2024, 2025]","[""original_valid_seed1337"", ""repair_non1337""]",[500],"[173, 500]","[173, 500]","[50, 1955]",[6995],"[223, 2459]",[50],2,0,True,True,True,True,-0.06730135961064863,-0.0100959872795893,0.17432591518319343,0.20767750501447088,-0.3035815507906492,0.1117734592382926,0.4153550100289418,-0.17430135961064863,-0.1170959872795893,1,2,0.09527506631288661,0.1003473395873694,74.31917214720126,78.3782173374199,0.3158562939751033,0.84979710862814,EXP-021_few_shot_main_output_recal_n500_seed1337,original_valid_seed1337,1337,0.1117734592382926,"Mixed cohort sizes: original seed-1337 uses target_overlap_n=2459 while repaired seeds use target_overlap_n=223. | Evaluation-set sizes differ sharply across rows; across-seed dispersion is not a pure fixed-cohort estimate. | Effective calibration sizes differ across rows, so requested N does not map to one shared calibration count. | 2 row(s) cap calibration to preserve the evaluation holdout.",3.0,1.0,2.0,-0.07603960609773792,-0.0747633836630824,"[{""analysis_origin"": ""original_valid_seed1337"", ""seed"": 1337, ""strategy_run_id"": ""EXP-021_few_shot_main_output_recal_n500_seed1337"", ""target_only_run_id"": ""EXP-075_few_shot_main_target_only_n500_seed1337"", ""strategy_r2"": 0.1117734592382926, ""target_only_r2"": 0.1055003216789403, ""delta_r2"": 0.006273137559352299}, {""analysis_origin"": ""repair_non1337"", ""seed"": 2024, ""strategy_run_id"": ""EXP-090_few_shot_repair_non1337_output_recal_n500_seed2024"", ""target_only_run_id"": ""EXP-126_few_shot_repair_non1337_target_only_n500_seed2024"", ""strategy_r2"": -0.3035815507906492, ""target_only_r2"": -0.1439529786011655, ""delta_r2"": -0.1596285721894837}, {""analysis_origin"": ""repair_non1337"", ""seed"": 2025, ""strategy_run_id"": ""EXP-091_few_shot_repair_non1337_output_recal_n500_seed2025"", ""target_only_run_id"": ""EXP-127_few_shot_repair_non1337_target_only_n500_seed2025"", ""strategy_r2"": -0.0100959872795893, ""target_only_r2"": 0.0646673963834931, ""delta_r2"": -0.0747633836630824}]"
fine_tune,10,3,"[1337, 2024, 2025]","[""original_valid_seed1337"", ""repair_non1337""]",[10],[10],[10],"[213, 2445]",[6995],"[223, 2459]",[50],0,0,True,True,True,False,0.035419808303377834,0.0104169521610416,0.03724136494917334,0.04014376394236725,0.0077774724321787,0.0880650003169132,0.08028752788473449,-0.07158019169662216,-0.0965830478389584,0,3,0.084053907459271,0.0845104824696361,61.696556497662904,61.74743758791281,1.4526475526252718,1.2340758344840428,EXP-024_few_shot_main_fine_tune_n10_seed1337,original_valid_seed1337,1337,0.0880650003169132,Mixed cohort sizes: original seed-1337 uses target_overlap_n=2459 while repaired seeds use target_overlap_n=223. | Evaluation-set sizes differ sharply across rows; across-seed dispersion is not a pure fixed-cohort estimate.,3.0,3.0,0.0,0.19101624731902675,0.18619239757753908,"[{""analysis_origin"": ""original_valid_seed1337"", ""seed"": 1337, ""strategy_run_id"": ""EXP-024_few_shot_main_fine_tune_n10_seed1337"", ""target_only_run_id"": ""EXP-060_few_shot_main_target_only_n10_seed1337"", ""strategy_r2"": 0.0880650003169132, ""target_only_r2"": 0.0409888006455009, ""delta_r2"": 0.04707619967141229}, {""analysis_origin"": ""repair_non1337"", ""seed"": 2024, ""strategy_run_id"": ""EXP-092_few_shot_repair_non1337_fine_tune_n10_seed2024"", ""target_only_run_id"": ""EXP-116_few_shot_repair_non1337_target_only_n10_seed2024"", ""strategy_r2"": 0.0104169521610416, ""target_only_r2"": -0.3293631925470872, ""delta_r2"": 0.3397801447081288}, {""analysis_origin"": ""repair_non1337"", ""seed"": 2025, ""strategy_run_id"": ""EXP-093_few_shot_repair_non1337_fine_tune_n10_seed2025"", ""target_only_run_id"": ""EXP-117_few_shot_repair_non1337_target_only_n10_seed2025"", ""strategy_r2"": 0.0077774724321787, ""target_only_r2"": -0.1784149251453604, ""delta_r2"": 0.18619239757753908}]"
fine_tune,25,3,"[1337, 2024, 2025]","[""original_valid_seed1337"", ""repair_non1337""]",[25],[25],[25],"[198, 2430]",[6995],"[223, 2459]",[50],0,0,True,True,True,False,0.06142860110221546,0.033064221565213,0.048649951349023286,0.054284649114682094,0.0213261417560346,0.1298954399853988,0.10856929822936419,-0.04557139889778454,-0.07393577843478699,1,2,0.088717476367279,0.0889967618180402,69.05678766533525,66.88082333139738,1.2010637075600679,1.1727677546184685,EXP-027_few_shot_main_fine_tune_n25_seed1337,original_valid_seed1337,1337,0.1298954399853988,Mixed cohort sizes: original seed-1337 uses target_overlap_n=2459 while repaired seeds use target_overlap_n=223. | Evaluation-set sizes differ sharply across rows; across-seed dispersion is not a pure fixed-cohort estimate.,3.0,3.0,0.0,0.008170607560834032,0.008145772478718297,"[{""analysis_origin"": ""original_valid_seed1337"", ""seed"": 1337, ""strategy_run_id"": ""EXP-027_few_shot_main_fine_tune_n25_seed1337"", ""target_only_run_id"": ""EXP-063_few_shot_main_target_only_n25_seed1337"", ""strategy_r2"": 0.1298954399853988, ""target_only_r2"": 0.1217496675066805, ""delta_r2"": 0.008145772478718297}, {""analysis_origin"": ""repair_non1337"", ""seed"": 2024, ""strategy_run_id"": ""EXP-094_few_shot_repair_non1337_fine_tune_n25_seed2024"", ""target_only_run_id"": ""EXP-118_few_shot_repair_non1337_target_only_n25_seed2024"", ""strategy_r2"": 0.0213261417560346, ""target_only_r2"": 0.0176699301150838, ""delta_r2"": 0.003656211640950799}, {""analysis_origin"": ""repair_non1337"", ""seed"": 2025, ""strategy_run_id"": ""EXP-095_few_shot_repair_non1337_fine_tune_n25_seed2025"", ""target_only_run_id"": ""EXP-119_few_shot_repair_non1337_target_only_n25_seed2025"", ""strategy_r2"": 0.033064221565213, ""target_only_r2"": 0.02035438300238, ""delta_r2"": 0.012709838562833}]"
fine_tune,50,3,"[1337, 2024, 2025]","[""original_valid_seed1337"", ""repair_non1337""]",[50],[50],[50],"[173, 2405]",[6995],"[223, 2459]",[50],0,0,True,True,True,False,0.04304410965578733,0.0332362200073833,0.0507826438838478,0.06161306156355245,-0.0136650070835631,0.1095611160435418,0.1232261231271049,-0.06395589034421267,-0.0737637799926167,1,2,0.09055566254319684,0.0912711304926142,69.60904284659007,64.36585990035411,-1.690443602388081,0.7553904428185652,EXP-030_few_shot_main_fine_tune_n50_seed1337,original_valid_seed1337,1337,0.1095611160435418,Mixed cohort sizes: original seed-1337 uses target_overlap_n=2459 while repaired seeds use target_overlap_n=223. | Evaluation-set sizes differ sharply across rows; across-seed dispersion is not a pure fixed-cohort estimate.,3.0,2.0,1.0,0.029571024897809866,0.0009103431906594961,"[{""analysis_origin"": ""original_valid_seed1337"", ""seed"": 1337, ""strategy_run_id"": ""EXP-030_few_shot_main_fine_tune_n50_seed1337"", ""target_only_run_id"": ""EXP-066_few_shot_main_target_only_n50_seed1337"", ""strategy_r2"": 0.1095611160435418, ""target_only_r2"": 0.1086507728528823, ""delta_r2"": 0.0009103431906594961}, {""analysis_origin"": ""repair_non1337"", ""seed"": 2024, ""strategy_run_id"": ""EXP-096_few_shot_repair_non1337_fine_tune_n50_seed2024"", ""target_only_run_id"": ""EXP-120_few_shot_repair_non1337_target_only_n50_seed2024"", ""strategy_r2"": -0.0136650070835631, ""target_only_r2"": -0.1215917392721253, ""delta_r2"": 0.10792673218856219}, {""analysis_origin"": ""repair_non1337"", ""seed"": 2025, ""strategy_run_id"": ""EXP-097_few_shot_repair_non1337_fine_tune_n50_seed2025"", ""target_only_run_id"": ""EXP-121_few_shot_repair_non1337_target_only_n50_seed2025"", ""strategy_r2"": 0.0332362200073833, ""target_only_r2"": 0.0533602206931754, ""delta_r2"": -0.0201240006857921}]"
